Nombre,Tamaño,Microsegundos
Backtrack,27,139087
Backtrack,27,136109
Backtrack,27,136150
Backtrack,27,136051
Backtrack,27,136188
Backtrack,27,136046
Backtrack,27,136135
Backtrack,27,136106
Backtrack,27,136190
Backtrack,28,207539
Backtrack,28,210899
Backtrack,28,207171
Backtrack,28,207289
Backtrack,28,207323
Backtrack,28,207300
Backtrack,28,207333
Backtrack,28,207287
Backtrack,28,207377
Backtrack,28,207356
Backtrack,28,207408
Backtrack,28,207542
Backtrack,28,207274
Backtrack,28,207400
Backtrack,28,207405
Backtrack,28,207426
Backtrack,28,207366
Backtrack,28,207256
Backtrack,28,207379
Backtrack,28,207372
Backtrack,29,303123
Backtrack,29,302975
Backtrack,29,302963
Backtrack,29,302838
Backtrack,29,302899
Backtrack,29,303093
Backtrack,29,303315
Backtrack,29,302928
Backtrack,29,307541
Backtrack,29,303231
Backtrack,29,303034
Backtrack,29,302781
Backtrack,29,303058
Backtrack,29,302992
Backtrack,29,303012
Backtrack,29,302974
Backtrack,29,302858
Backtrack,29,302867
Backtrack,29,302978
Backtrack,29,302943
Backtrack,30,421964
Backtrack,30,421584
Backtrack,30,421994
Backtrack,30,421570
Backtrack,30,421833
Backtrack,30,421981
Backtrack,30,421996
Backtrack,30,421798
Backtrack,30,421953
Backtrack,30,422253
Backtrack,30,421603
Backtrack,30,421960
Backtrack,30,421733
Backtrack,30,421825
Backtrack,30,422068
Backtrack,30,421520
Backtrack,30,421988
Backtrack,30,421824
Backtrack,30,421757
Backtrack,30,421874
Backtrack,31,602196
Backtrack,31,601781
Backtrack,31,602201
Backtrack,31,601907
Backtrack,31,602226
Backtrack,31,602198
Backtrack,31,606540
Backtrack,31,603479
Backtrack,31,601937
Backtrack,31,602749
Backtrack,31,602037
Backtrack,31,602235
Backtrack,31,602293
Backtrack,31,601857
Backtrack,31,603472
Backtrack,31,602965
Backtrack,31,602648
Backtrack,31,602341
Backtrack,31,602895
Backtrack,31,602124
Backtrack,32,865727
Backtrack,32,866493
Backtrack,32,866494
Backtrack,32,866676
Backtrack,32,865690
Backtrack,32,865584
Backtrack,32,865594
Backtrack,32,865768
Backtrack,32,868370
Backtrack,32,865920
Backtrack,32,866096
Backtrack,32,866080
Backtrack,32,866572
Backtrack,32,865653
Backtrack,32,865775
Backtrack,32,865636
Backtrack,32,869392
Backtrack,32,865780
Backtrack,32,898544
Backtrack,32,866329
Backtrack,33,1163484
Backtrack,33,1161158
Backtrack,33,1161131
Backtrack,33,1161726
Backtrack,33,1161121
Backtrack,33,1161341
Backtrack,33,1161042
Backtrack,33,1161383
Backtrack,33,1161498
Backtrack,33,1161075
Backtrack,33,1161043
Backtrack,33,1161080
Backtrack,33,1161321
Backtrack,33,1161245
Backtrack,33,1160929
Backtrack,33,1161261
Backtrack,33,1161022
Backtrack,33,1160968
Backtrack,33,1161409
Backtrack,33,1161060
Backtrack,34,1480920
Backtrack,34,1480904
Backtrack,34,1480859
Backtrack,34,1480735
Backtrack,34,1482055
Backtrack,34,1481001
Backtrack,34,1480883
Backtrack,34,1481351
Backtrack,34,1481067
Backtrack,34,1492149
Backtrack,34,1482638
Backtrack,34,1481404
Backtrack,34,1481310
Backtrack,34,1480767
Backtrack,34,1482054
Backtrack,34,1480693
Backtrack,34,1480521
Backtrack,34,1481074
Backtrack,34,1481243
Backtrack,34,1481411
Backtrack,35,1854481
Backtrack,35,1854225
Backtrack,35,1854345
Backtrack,35,1854492
Backtrack,35,1854699
Backtrack,35,1854465
Backtrack,35,1854812
Backtrack,35,1854934
Backtrack,35,1855038
Backtrack,35,1854269
Backtrack,35,1854667
Backtrack,35,1854639
Backtrack,35,1854277
Backtrack,35,1854460
Backtrack,35,1854455
Backtrack,35,1854417
Backtrack,35,1854338
Backtrack,35,1855023
Backtrack,35,1854577
Backtrack,35,1854803
Backtrack,36,2265079
Backtrack,36,2265105
Backtrack,36,2264951
Backtrack,36,2276176
Backtrack,36,2266605
Backtrack,36,2265217
Backtrack,36,2265484
Backtrack,36,2265293
Backtrack,36,2265200
Backtrack,36,2268225
Backtrack,36,2265245
Backtrack,36,2265243
Backtrack,36,2265123
Backtrack,36,2265119
Backtrack,36,2265048
Backtrack,36,2265335
Backtrack,36,2264860
Backtrack,36,2265581
Backtrack,36,2264747
Backtrack,36,2265423
Backtrack,37,2808593
Backtrack,37,2808368
Backtrack,37,2808290
Backtrack,37,2808742
Backtrack,37,2808532
Backtrack,37,2808594
Backtrack,37,2808441
Backtrack,37,2808800
Backtrack,37,2809854
Backtrack,37,2808763
Backtrack,37,2809653
Backtrack,37,2808471
Backtrack,37,2808806
Backtrack,37,2808577
Backtrack,37,2808363
Backtrack,37,2808664
Backtrack,37,2808180
Backtrack,37,2808728
Backtrack,37,2809693
Backtrack,37,2809230
Backtrack,38,3531361
Backtrack,38,3531382
Backtrack,38,3534740
Backtrack,38,3531581
Backtrack,38,3530549
Backtrack,38,3531131
Backtrack,38,3530901
Backtrack,38,3532580
Backtrack,38,3531007
Backtrack,38,3531317
Backtrack,38,3533473
Backtrack,38,3530960
Backtrack,38,3531341
Backtrack,38,3531203
Backtrack,38,3531912
Backtrack,38,3531352
Backtrack,38,3532129
Backtrack,38,3531342
Backtrack,38,3531088
Backtrack,38,3532498
Backtrack,39,4413690
Backtrack,39,4413860
Backtrack,39,4412983
Backtrack,39,4412554
Backtrack,39,4412935
Backtrack,39,4412050
Backtrack,39,4411590
Backtrack,39,4416159
Backtrack,39,4413082
Backtrack,39,4415986
Backtrack,39,4414320
Backtrack,39,4417398
Backtrack,39,4416363
Backtrack,39,4413924
Backtrack,39,4414504
Backtrack,39,4418109
Backtrack,39,4414386
Backtrack,39,4431627
Backtrack,39,4419635
Backtrack,39,4418691
Backtrack,40,5812339
Backtrack,40,5816989
Backtrack,40,5814931
Backtrack,40,5801195
Backtrack,40,5825862
Backtrack,40,5812744
Backtrack,40,5810949
Backtrack,40,5800375
Backtrack,40,5802172
Backtrack,40,5813120
Backtrack,40,5808819
Backtrack,40,5800286
Backtrack,40,5802268
Backtrack,40,5802663
Backtrack,40,5800481
Backtrack,40,5820298
Backtrack,40,5826650
Backtrack,40,5809320
Backtrack,40,5809141
Backtrack,40,5815380
Backtrack,41,7556470
Backtrack,41,7571113
Backtrack,41,7572037
Backtrack,41,7571402
Backtrack,41,7585078
Backtrack,41,7556396
Backtrack,41,7564924
Backtrack,41,7584058
Backtrack,41,7558471
Backtrack,41,7569619
Backtrack,41,7572545
Backtrack,41,7575548
Backtrack,41,7564728
Backtrack,41,7566179
Backtrack,41,7569231
Backtrack,41,7557112
Backtrack,41,7556181
Backtrack,41,7559311
Backtrack,41,7558901
Backtrack,41,7556718
Backtrack,42,9614182
Backtrack,42,9641522
Backtrack,42,9643072
Backtrack,42,9619474
Backtrack,42,9613353
Backtrack,42,9622409
Backtrack,42,9658291
Backtrack,42,9614276
Backtrack,42,9615998
Backtrack,42,9625319
Backtrack,42,9614862
Backtrack,42,9624588
Backtrack,42,9629200
Backtrack,42,9640923
Backtrack,42,9616809
Backtrack,42,9629181
Backtrack,42,9613888
Backtrack,42,9629717
Backtrack,42,9614982
Backtrack,42,9615992
Backtrack,43,12523051
Backtrack,43,12553080
Backtrack,43,12444637
Backtrack,43,12441881
Backtrack,43,12446473
Backtrack,43,12438175
Backtrack,43,12444373
Backtrack,43,12448861
Backtrack,43,12437793
Backtrack,43,12451805
Backtrack,43,12450563
Backtrack,43,12440722
Backtrack,43,12448959
Backtrack,43,12454517
Backtrack,43,12444710
Backtrack,43,12454097
Backtrack,43,12450080
Backtrack,43,12438786
Backtrack,43,12450103
Backtrack,43,12446611
Backtrack,44,15813794
Backtrack,44,15811868
Backtrack,44,15809603
Backtrack,44,15817817
Backtrack,44,15860339
Backtrack,44,15843351
Backtrack,44,15887472
Backtrack,44,15818216
Backtrack,44,15817936
Backtrack,44,15820754
Backtrack,44,15826246
Backtrack,44,15842433
Backtrack,44,15833993
Backtrack,44,15835762
Backtrack,44,15811035
Backtrack,44,15829069
Backtrack,44,15810286
Backtrack,44,15810568
Backtrack,44,15820597
Backtrack,44,15841769
Backtrack,45,20186848
Backtrack,45,20157123
Backtrack,45,20177855
Backtrack,45,20185847
Backtrack,45,20187559
Backtrack,45,20187222
Backtrack,45,20170588
Backtrack,45,20171838
Backtrack,45,20173204
Backtrack,45,20183089
Backtrack,45,20184072
Backtrack,45,20196561
Backtrack,45,20172825
Backtrack,45,20182549
Backtrack,45,20191094
Backtrack,45,20176520
Backtrack,45,20178575
Backtrack,45,20170091
Backtrack,45,20169165
Backtrack,45,20173612
Backtrack,46,27939679
Backtrack,46,27940222
Backtrack,46,27947814
Backtrack,46,27978864
Backtrack,46,27963816
Backtrack,46,27995296
Backtrack,46,27946681
Backtrack,46,27962359
Backtrack,46,27958556
Backtrack,46,27948351
Backtrack,46,27964550
Backtrack,46,27950236
Backtrack,46,27970982
Backtrack,46,27967748
Backtrack,46,27954040
Backtrack,46,27954661
Backtrack,46,27967471
Backtrack,46,27954744
Backtrack,46,27962530
Backtrack,46,27945229
Backtrack,47,39600081
Backtrack,47,39585520
Backtrack,47,39601359
Backtrack,47,39630672
Backtrack,47,39669206
Backtrack,47,39642920
Backtrack,47,39626077
Backtrack,47,39583296
Backtrack,47,39596586
Backtrack,47,39615561
Backtrack,47,39594170
Backtrack,47,39594960
Backtrack,47,39601208
Backtrack,47,39641145
Backtrack,47,39618262
Backtrack,47,39660771
Backtrack,47,39631952
Backtrack,47,39620854
Backtrack,47,39613596
Backtrack,47,39621995
Backtrack,48,58097475
Backtrack,48,58081023
Backtrack,48,58047221
Backtrack,48,58121225
Backtrack,48,58081110
Backtrack,48,58076012
Backtrack,48,58308214
Backtrack,48,58079189
Backtrack,48,58124177
Backtrack,48,58105462
Backtrack,48,58067698
Backtrack,48,58119734
Backtrack,48,58118373
Backtrack,48,58139717
Backtrack,48,58144747
Backtrack,48,58106793
Backtrack,48,58148559
Backtrack,48,58130076
Backtrack,48,58096463
Backtrack,48,58101808
Backtrack,49,78769349
Backtrack,49,78958316
Backtrack,49,78842711
Backtrack,49,78780620
Backtrack,49,78718617
Backtrack,49,78712963
Backtrack,49,78774524
Backtrack,49,78746721
Backtrack,49,78766640
Backtrack,49,78734882
Backtrack,49,78823927
Backtrack,49,78826099
Backtrack,49,78743625
Backtrack,49,78729237
Backtrack,49,78746241
Backtrack,49,78781285
Backtrack,49,78777785
Backtrack,49,78782946
Backtrack,49,78710033
Backtrack,49,78646800
